"","subject","activityinfo","tBodyAcc.mean...X","tBodyAcc.mean...Y","tBodyAcc.mean...Z","tBodyAcc.std...X","tBodyAcc.std...Y","tBodyAcc.std...Z","tGravityAcc.mean...X","tGravityAcc.mean...Y","tGravityAcc.mean...Z","tGravityAcc.std...X","tGravityAcc.std...Y","tGravityAcc.std...Z","tBodyAccJerk.mean...X","tBodyAccJerk.mean...Y","tBodyAccJerk.mean...Z","tBodyAccJerk.std...X","tBodyAccJerk.std...Y","tBodyAccJerk.std...Z","tBodyGyro.mean...X","tBodyGyro.mean...Y","tBodyGyro.mean...Z","tBodyGyro.std...X","tBodyGyro.std...Y","tBodyGyro.std...Z","tBodyGyroJerk.mean...X","tBodyGyroJerk.mean...Y","tBodyGyroJerk.mean...Z","tBodyGyroJerk.std...X","tBodyGyroJerk.std...Y","tBodyGyroJerk.std...Z","tBodyAccMag.mean..","tBodyAccMag.std..","tGravityAccMag.mean..","tGravityAccMag.std..","tBodyAccJerkMag.mean..","tBodyAccJerkMag.std..","tBodyGyroMag.mean..","tBodyGyroMag.std..","tBodyGyroJerkMag.mean..","tBodyGyroJerkMag.std..","fBodyAcc.mean...X","fBodyAcc.mean...Y","fBodyAcc.mean...Z","fBodyAcc.std...X","fBodyAcc.std...Y","fBodyAcc.std...Z","fBodyAcc.meanFreq...X","fBodyAcc.meanFreq...Y","fBodyAcc.meanFreq...Z","fBodyAccJerk.mean...X","fBodyAccJerk.mean...Y","fBodyAccJerk.mean...Z","fBodyAccJerk.std...X","fBodyAccJerk.std...Y","fBodyAccJerk.std...Z","fBodyAccJerk.meanFreq...X","fBodyAccJerk.meanFreq...Y","fBodyAccJerk.meanFreq...Z","fBodyGyro.mean...X","fBodyGyro.mean...Y","fBodyGyro.mean...Z","fBodyGyro.std...X","fBodyGyro.std...Y","fBodyGyro.std...Z","fBodyGyro.meanFreq...X","fBodyGyro.meanFreq...Y","fBodyGyro.meanFreq...Z","fBodyAccMag.mean..","fBodyAccMag.std..","fBodyAccMag.meanFreq..","fBodyBodyAccJerkMag.mean..","fBodyBodyAccJerkMag.std..","fBodyBodyAccJerkMag.meanFreq..","fBodyBodyGyroMag.mean..","fBodyBodyGyroMag.std..","fBodyBodyGyroMag.meanFreq..","fBodyBodyGyroJerkMag.mean..","fBodyBodyGyroJerkMag.std..","fBodyBodyGyroJerkMag.meanFreq.."
"1",1,1,0.277136271764706,-0.0203017962198039,-0.108007891176471,-0.424037670980392,-0.334605376862745,-0.187548870431373,0.88158223327451,-0.0645927833529412,-0.173932414509804,-0.982186769215686,-0.973784801372549,-0.96151231372549,0.0838894077647059,0.0155613435235294,0.00456091047843137,-0.419562570980392,-0.444225178039216,-0.459127359411765,-0.0152654682007843,-0.0700711335490196,0.0800242131176471,-0.665816325686274,-0.625921758823529,-0.388875505686274,-0.106934608615686,-0.0377219710823529,-0.058132179854902,-0.685532075686275,-0.721836847254902,-0.586000836862745,-0.282352778627451,-0.489178528235294,-0.282352778627451,-0.489178528235294,-0.386203304313726,-0.424324166078431,-0.503935910196078,-0.675683590980392,-0.682660471568627,-0.731301688627451,-0.41677328745098,-0.342198296078431,-0.273146320980392,-0.427305287843137,-0.372842786862745,-0.205304086372549,-0.356875078803922,-0.0362994489392157,0.016515904702549,-0.463173564117647,-0.471192435098039,-0.442962986666667,-0.425796008823529,-0.452883274509804,-0.473695484509804,-0.317330778627451,-0.380162144480392,-0.433975975235294,-0.608696202156863,-0.633742651568627,-0.454460115882353,-0.684915458431373,-0.624761678627451,-0.425029648627451,-0.187400594647059,-0.0913353859215686,-0.269273714456863,-0.431214626470588,-0.604602497647059,0.154331564156863,-0.400083665294118,-0.460982275294118,0.0927092238164706,-0.680108604313725,-0.729698205490196,0.168909644196078,-0.729821599411765,-0.752631910784314,0.0875957969568627
"2",1,2,0.259391120470588,-0.0143970323286275,-0.125333200098039,-0.367642147843137,-0.161689391352941,-0.125823941545098,0.830532689215686,-0.0802507426078431,-0.373069357843137,-0.948595524117647,-0.935030694509804,-0.908319932156863,0.0789241469156863,0.0100859898823529,0.0402315063588235,-0.502792615427451,-0.414549586862745,-0.583095604509804,0.0954735729058823,-0.0502774723627451,-0.0256899344333333,-0.504824126666667,-0.585759516862745,-0.369511152235294,-0.146449983751176,-0.0359550677186274,-0.0375577896627451,-0.70266216627451,-0.767987594509804,-0.711332502156863,-0.213064565686275,-0.312853248078431,-0.213064565686275,-0.312853248078431,-0.467928384509804,-0.477780296313725,-0.31021121372549,-0.514642516078431,-0.731979930980392,-0.790618651960784,-0.450816350666667,-0.262774515882353,-0.327256390196078,-0.338404287647059,-0.166157860098039,-0.0939782705764706,-0.436811980784314,-0.206356419037255,-0.28334993454902,-0.529178977254902,-0.459345248235294,-0.553593479411765,-0.519979918768627,-0.40469019254902,-0.611147054901961,-0.33043408045098,-0.530072574901961,-0.503028281960784,-0.527445933529412,-0.637275651764706,-0.492082457647059,-0.507091787058824,-0.56139214627451,-0.392887920098039,-0.369225568823529,-0.297310168294118,-0.40830600127451,-0.347162577705882,-0.401278974509804,-0.0812908289490196,-0.460641353705882,-0.504498863980392,0.0708954328588235,-0.625744387058824,-0.530357144705882,-0.258165836607843,-0.78078816745098,-0.819714903921569,0.136370976862745
"3",1,3,0.292267954106383,-0.0184853905276596,-0.119006366851064,0.172822731546809,-0.158184946591489,0.00371627984042553,0.918283626170213,-0.0586842462978723,-0.224548385106383,-0.958845919361702,-0.955736027446809,-0.911210089787234,0.0798581963191489,-0.00866072224468085,-0.0349058698893617,-0.113199659217021,-0.274517618595745,-0.310604832619149,-0.0344379917212766,-0.0672495431319149,0.0922839541042553,-0.457262220212766,-0.531382114468085,-0.437610711914894,-0.103048229224468,-0.0615770755285106,-0.0546673155482979,-0.628238393404255,-0.588375843404255,-0.541861070425532,0.16458519975766,0.089017080893617,0.16458519975766,0.089017080893617,-0.17615947187234,-0.0931005345382979,-0.313686013404255,-0.428236201276596,-0.59457798212766,-0.601015098510638,0.0140074109978723,-0.147253975918298,-0.0527703933344681,0.227436617417447,-0.218332828521277,-0.0466771171702128,-0.444634263191489,-0.0100567694085106,0.0481056966617021,-0.16701827106383,-0.302219130808511,-0.250153162148936,-0.137047528152766,-0.294210667161702,-0.370342545659574,-0.367398471531915,-0.417119262851064,-0.384822203510638,-0.425081927561702,-0.48366009106383,-0.370875676808511,-0.473087195744681,-0.567477958297872,-0.513737638723404,-0.286598803021277,0.0718492479723404,-0.129227960829787,0.086368794993617,-0.0805785230234042,0.0317663285425532,-0.0888914539882979,-0.107049902057447,-0.00501273306382979,-0.493149760638298,-0.485596726765957,0.0356756523617021,-0.594597099148936,-0.638702541489362,0.106800664882979
"4",1,4,0.276872054423077,-0.0142992838692308,-0.10442890725,-0.994192868076923,-0.974214778076923,-0.976682325384615,0.935863153461538,-0.0807976130961539,0.134032535538462,-0.991459145769231,-0.980393274615385,-0.974886781153846,0.0754380593846154,0.0105268914782692,-0.00503143362480769,-0.993969225192308,-0.98667718,-0.989046945192308,-0.0375953460807692,-0.0658337780192308,0.0901419388692308,-0.989561123846154,-0.982944494038462,-0.98888374,-0.0961775150769231,-0.0405862653273077,-0.0572762331615385,-0.993999325961539,-0.994745944615385,-0.994555070769231,-0.982595900192308,-0.978192766730769,-0.982595900192308,-0.978192766730769,-0.991350586923077,-0.990789874230769,-0.970879418269231,-0.974687306730769,-0.995896963076923,-0.994530013846154,-0.993793772307692,-0.977192265576923,-0.981363734038462,-0.994393633846154,-0.973959899615385,-0.975185253653846,0.0230059835634615,0.211763970326923,0.199914203019231,-0.994036806346154,-0.986494089807692,-0.987072607692308,-0.994438266538462,-0.987906519615385,-0.989643628653846,0.230749296592308,0.0360565900711538,0.070772593625,-0.986514975,-0.986486915769231,-0.987902164423077,-0.990560846153846,-0.981257109615385,-0.990296826538462,0.187628720026923,-0.148522090165385,0.231167703378846,-0.981913799230769,-0.979155773269231,0.285747450307692,-0.990121724807692,-0.990517465961538,0.364778646134615,-0.981192951923077,-0.974962327115385,0.0433244186,-0.994768854038461,-0.994288747884615,0.313905077913462
"5",1,5,0.278161415882353,-0.0179041443355294,-0.107949046835294,-0.977734261294118,-0.943265287294118,-0.944202762882353,0.922016171058823,-0.0690844277882353,-0.220162245729412,-0.988747536588235,-0.978233636823529,-0.969391918588235,0.0753693854117647,0.00862520391269412,-0.000257035479647059,-0.980712855294118,-0.970678114588235,-0.979744202352941,-0.0348242667494118,-0.0690103566788235,0.0957752732823529,-0.965768598,-0.968957709764706,-0.968141230588235,-0.0987544021058823,-0.0389280552823529,-0.0542345003058824,-0.981202235411765,-0.986998950235294,-0.985575156941176,-0.957777078,-0.951609417764706,-0.957777078,-0.951609417764706,-0.978969096,-0.975429047529412,-0.956240501882353,-0.956385259647059,-0.986884145411765,-0.985660566823529,-0.978783422,-0.952942624352941,-0.960672626823529,-0.977447510588235,-0.941547658470588,-0.939670977070588,-0.0390167060047059,0.0128900941475294,0.0300409194470588,-0.981105367058824,-0.970629755647059,-0.977027784352941,-0.982058195411765,-0.972991353882353,-0.981032520117647,0.220835571177647,-0.00564693785847059,-0.0236806471658824,-0.965971699411765,-0.974361019058824,-0.972213410588235,-0.966227104705882,-0.966289300823529,-0.969740894117647,-0.202156100898824,-0.232391907058824,-0.0647746661423529,-0.962037846823529,-0.953352738941176,0.0348407508505882,-0.974806517882353,-0.975172522235294,0.346212204376471,-0.969718743176471,-0.955797683176471,-0.177485362035294,-0.986223321764706,-0.985644997058824,0.220002761610588
"6",1,6,0.2724221985,-0.016088993639,-0.106988094066667,-0.9720272735,-0.945354694166667,-0.9663294635,-0.206614870333333,-0.0884207254333333,0.8844416195,-0.9618955005,-0.9687934265,-0.970077991,0.0791817853166667,0.0158926794346667,-0.00350702077225,-0.9880109585,-0.984827417,-0.987299243,-0.0119311235,-0.109125623066667,0.090279769,-0.976500730833333,-0.971077873333333,-0.985870652333333,-0.10447623615,-0.03521468212,-0.0550393121333333,-0.985387585666667,-0.988742801166667,-0.9938865285,-0.961861207,-0.958024622333333,-0.961861207,-0.958024622333333,-0.9880598165,-0.987512458666667,-0.953656152,-0.959692580666667,-0.990563029666667,-0.987737193166667,-0.978993579666667,-0.965076918666667,-0.974911896833333,-0.969591846333333,-0.939658858,-0.963527560333333,-0.369417140966667,-0.189570422,0.12692115354,-0.988097893833333,-0.984742398333333,-0.985171584166667,-0.989014887666667,-0.986152570833333,-0.9880296655,0.05996723613,-0.0347396349501667,0.0631216170483333,-0.974902378,-0.976436668333333,-0.9860719695,-0.9772355635,-0.9684756725,-0.987144835166667,-0.113437336003333,-0.24205231805,0.1249195274285,-0.9680424285,-0.958228064166667,-0.140266198583333,-0.987166692666667,-0.9868514815,0.347138350756667,-0.970114918,-0.960097809833333,-0.125459477566667,-0.988138491,-0.987724725,0.0984473808318333
"7",2,1,0.278086108,-0.0173113732957895,-0.112625787957895,-0.296854495263158,0.0934516214631579,-0.271611934736842,0.904344392421053,-0.267023018694737,-0.0595105671052632,-0.976008947684211,-0.971305244210526,-0.945736441052632,0.0713175708842105,0.0225795119042105,-0.00497492570736842,-0.130947686014737,0.0464355427157895,-0.511930646105263,-0.0423856847986316,-0.0697191622894737,0.0850746595147368,-0.483798212526316,-0.0741101702805263,-0.357805034315789,-0.09216580636,-0.0375841850094737,-0.0455098873757895,-0.222776321178947,-0.318905622631579,-0.416135420631579,-0.152102902977895,-0.233194773,-0.152102902977895,-0.233194773,-0.157845753557895,-0.0927633320098947,-0.177104077484211,-0.204398534736842,-0.312611759610526,-0.339662646052632,-0.218122602221053,0.0695189009073684,-0.342638589263158,-0.331284671473684,0.0359869822986316,-0.290704097073684,-0.2043407406,0.112778241745263,0.0534332093646316,-0.187015966865368,-0.0532292795025368,-0.478813585368421,-0.150293252221053,0.084818474336,-0.543376295368421,-0.201752359903158,-0.373045431873684,-0.178684984823158,-0.351596356589474,-0.122273964855789,-0.271305276842105,-0.526220459894737,-0.0530476307042105,-0.448209954421053,0.0130423070810526,-0.0631098452431579,0.00668106806957895,-0.143669858945263,-0.408571705473684,0.190990315136842,-0.0753711816448421,-0.121696059823158,0.103812677862737,-0.216753894670526,-0.335325256631579,0.261148603199579,-0.333550590515789,-0.395055108526316,0.193040011930526
"8",2,2,0.261454253076923,-0.0226734291884615,-0.0973569580384615,-0.367076442961538,-0.0505096523269231,-0.0414155871230769,0.907442765384615,-0.333954097307692,-0.0529967277307692,-0.956213618461539,-0.953198733461538,-0.905350508076923,0.159773683288462,-7.43309615384609e-05,-0.0997186064615385,-0.467090894230769,-0.398429946153846,-0.703182047692308,0.066407959,-0.187561148142308,0.0709181136192308,-0.551965563461538,-0.0489847991692308,-0.507066972692308,-0.122246326538462,-0.0307626195346154,-0.0424273437269231,-0.632657647307692,-0.610394728846154,-0.611663932692308,-0.151230970230769,-0.343336510923077,-0.151230970230769,-0.343336510923077,-0.476854928846154,-0.504488107307692,-0.163185914669231,-0.183502119338462,-0.605838766153846,-0.653982909615385,-0.417305379038462,-0.215085096011538,-0.423005575384615,-0.3496772175,-0.0347693173384615,0.0529678784153846,-0.459769223461538,-0.175646395307692,-0.47555403,-0.497199518461538,-0.432392943076923,-0.677815997307692,-0.483342232307692,-0.401652495384615,-0.727107138461539,-0.401022026153846,-0.521463968846154,-0.529265648192308,-0.498753883076923,-0.320140821923077,-0.456874142307692,-0.572909818076923,0.0761696686538462,-0.569927052307692,-0.207972629807692,-0.423303906923077,-0.145176401557692,-0.369541094884615,-0.432308761538462,-0.0932342583846154,-0.465526192692308,-0.562260633846154,0.0797919167961538,-0.346809345769231,-0.220787380307692,-0.206592151346154,-0.641459215384615,-0.696699207692308,0.0707547988346154
"9",2,3,0.29172174483871,-0.0105446683516129,-0.110598560145161,-0.004775953,-0.0180117423870968,-0.247042684419355,0.936624951935484,-0.253963429354839,-0.0415104848096774,-0.952184916774194,-0.93905060483871,-0.894758191935484,0.0717018593225806,0.0479879193870968,0.00706745218709678,-0.0345131534935484,-0.084093278216129,-0.367712125935484,-0.105066871314516,-0.0298180032774194,0.0986371381596774,-0.443018334645161,-0.106810155354839,-0.144630733,-0.0455709112493548,-0.0545779406129032,-0.0352897854774194,-0.466328671290323,-0.229579610967742,-0.287541470706452,0.00130546874193548,0.00519837703225806,0.00130546874193548,0.00519837703225806,-0.105129411129032,-0.0363657668419355,-0.0766192670322581,-0.192500710483871,-0.297239476258065,-0.278823921322581,-0.00170592680322581,0.0154023645535484,-0.246113150322581,-0.00834591556129032,-0.0997821932580645,-0.310763817741936,-0.313946741580645,0.0614636706741936,0.26304867428129,-0.0495484368709677,-0.119436330703226,-0.313907502903226,-0.106986039390323,-0.10876861486129,-0.420200508064516,-0.23756564316129,-0.364885717612903,-0.0487737080419355,-0.337089796670968,-0.0304467907419355,-0.0573192941516129,-0.480946269967742,-0.166012025619355,-0.254339762258065,-0.0583775770580645,0.0757990444548387,-0.0853532050903226,0.0824923111580645,-0.199345033290323,0.100094232645161,0.00097772840967742,-0.0926907823322581,0.0769192653096774,-0.160951217370968,-0.363141555354839,0.320614299290323,-0.2604694997,-0.356893532064516,0.161090772357742
"10",2,4,0.261417632659574,-0.00140613311978723,-0.104545067787234,-0.977379374680851,-0.923415379361702,-0.939675515319149,0.815685315829787,0.19621778012766,0.322166630895745,-0.96852305106383,-0.936105593191489,-0.94911105787234,0.0775769950212766,-0.000613220934042554,-0.00375512050638298,-0.986643865106383,-0.981451672765957,-0.987885995319149,-0.0453669593638298,-0.0915588144255319,0.063275146106383,-0.97721297,-0.967087360212766,-0.942052389787234,-0.0935248717446809,-0.0389915712765957,-0.0458931326170213,-0.991698634893617,-0.989683773404255,-0.988059726170213,-0.948884382978723,-0.927210715957447,-0.948884382978723,-0.927210715957447,-0.987445949361702,-0.984165703617021,-0.931022178723404,-0.935499159361702,-0.992019619787234,-0.988572674680851,-0.979888539148936,-0.94448994,-0.95926190106383,-0.976505100851064,-0.91822888106383,-0.934543451702128,-0.0513682471234043,0.0978151600425532,0.230964757808511,-0.98683990212766,-0.981638683404255,-0.986077986170213,-0.987648864468085,-0.982615505957447,-0.988248981914894,0.259598233780851,0.0615583689170213,0.0856475124042553,-0.976261365319149,-0.976673500212766,-0.952055457659574,-0.977866992765957,-0.962789002765957,-0.944440008510638,0.179515908197021,0.0493435067446809,-0.0217949207446809,-0.947842805744681,-0.928621668510638,0.252545421255319,-0.985288846808511,-0.981688801276596,0.35190353387234,-0.959564660212766,-0.932854759574468,-0.0053182360787234,-0.989999382978723,-0.98738919,0.227593324468085
